Date,Gold,USDVND
2015-01-31,1252.9249938964845,21033.727272727272
2015-02-28,1224.9105224609375,20998.4
2015-03-31,1177.768182927912,21081.81818181818
2015-04-30,1199.828578404018,21367.590909090908
2015-05-31,1198.2150085449218,21714.04761904762
2015-06-30,1180.7818215110085,21783.409090909092
2015-07-31,1128.113641912287,21504.652173913044
2015-08-31,1118.7333112444196,21798.52380952381
2015-09-30,1123.8238002232142,22137.772727272728
2015-10-31,1159.859092018821,22008.0
2015-11-30,1084.0050048828125,22043.904761904763
2015-12-31,1069.9454567649148,22088.739130434784
2016-01-31,1097.6420962685033,22039.52380952381
2016-02-29,1201.4050048828126,21945.619047619046
2016-03-31,1244.8818192915483,21948.17391304348
2016-04-30,1242.5380801246279,21940.619047619046
2016-05-31,1259.5904773530506,21990.909090909092
2016-06-30,1276.7454612038352,21978.81818181818
2016-07-31,1337.2100036621093,21948.52380952381
2016-08-31,1337.9565270465353,21955.08695652174
2016-09-30,1325.1142868768602,21946.0
2016-10-31,1263.9800109863281,21961.380952380954
2016-11-30,1235.9600036621093,22151.090909090908
2016-12-31,1151.395252046131,22371.18181818182
2017-01-31,1193.190008544922,22204.18181818182
2017-02-28,1234.5420949835527,22435.45
2017-03-31,1230.378269361413,22451.521739130436
2017-04-30,1268.6526392886512,22419.65
2017-05-31,1243.7636385830965,22342.652173913044
2017-06-30,1260.0590931285512,22339.545454545456
2017-07-31,1235.9599975585938,22375.571428571428
2017-08-31,1283.7956436820652,22369.652173913044
2017-09-30,1313.9400024414062,22425.809523809523
2017-10-31,1279.2500055486505,22389.68181818182
2017-11-30,1280.6904703776042,22362.727272727272
2017-12-31,1265.5700073242188,22372.04761904762
2018-01-31,1330.675,22473.534816576088
2018-02-28,1330.0578806023848,22689.66015625
2018-03-31,1324.2381068638392,22740.495561079544
2018-04-30,1335.3428664434523,22706.119047619046
2018-05-31,1302.6181696111505,22679.804347826088
2018-06-30,1280.0238037109375,22767.85714285714
2018-07-31,1236.0238211495537,23004.454545454544
2018-08-31,1199.9521749745245,23241.626103940216
2018-09-30,1196.705258018092,23245.52998046875
2018-10-31,1213.9695673403533,23274.365234375
2018-11-30,1219.2381010509673,23258.227272727272
2018-12-31,1253.0473697060033,23234.94763764881
2019-01-31,1290.8618977864583,23172.486922554348
2019-02-28,1318.4473684210527,23168.1599609375
2019-03-31,1298.5285935174852,23159.97619047619
2019-04-30,1284.7857200985864,23145.663707386364
2019-05-31,1283.3727195046165,23272.031693892044
2019-06-30,1359.669989013672,23259.025
2019-07-31,1413.295448996804,23161.213060461956
2019-08-31,1502.0363658558238,23173.040926846592
2019-09-30,1507.4199951171875,23161.647600446428
2019-10-31,1493.330423106318,23137.037958559784
2019-11-30,1470.0000061035157,23187.749813988095
2019-12-31,1480.8523763020833,23156.11443536932
2020-01-31,1559.933337983631,23153.682235054348
2020-02-29,1595.6157804790296,23231.2
2020-03-31,1594.6500077681108,23233.242631392044
2020-04-30,1694.9809395926338,23506.72150213068
2020-05-31,1718.6900146484375,23368.333333333332
2020-06-30,1735.922735040838,23262.272727272728
2020-07-31,1847.5409046519887,23175.315641983696
2020-08-31,1966.2380836123511,23160.61170014881
2020-09-30,1920.2761869884673,23177.590909090908
2020-10-31,1900.245450106534,23181.727272727272
2020-11-30,1866.0799987792968,23170.95238095238
2020-12-31,1859.2954434481535,23125.17391304348
2021-01-31,1865.1842169510692,23043.113095238095
2021-02-28,1805.531584087171,22983.93876953125
2021-03-31,1719.5173923658288,22995.051290760868
2021-04-30,1759.7571440197173,23019.41015625
2021-05-31,1850.6450073242188,23017.964750744046
2021-06-30,1834.1227361505682,22981.911576704544
2021-07-31,1805.5047607421875,22940.54021661932
2021-08-31,1785.231805974787,22826.06267755682
2021-09-30,1775.8999953497023,22760.772727272728
2021-10-31,1776.404750279018,22719.81640625
2021-11-30,1819.499988374256,22678.863636363636
2021-12-31,1791.0454434481535,22903.652173913044
2022-01-31,1816.6399963378906,22702.285714285714
2022-02-28,1857.7420911287006,22729.0
2022-03-31,1950.6739024286685,22854.043478260868
2022-04-30,1933.9300048828125,22905.761904761905
2022-05-31,1845.9380987258185,23076.590909090908
2022-06-30,1834.547619047619,23212.68181818182
2022-07-31,1729.8,23375.095238095237
2022-08-31,1762.4782608695652,23395.869565217392
2022-09-30,1678.6142868768602,23607.727272727272
2022-10-31,1665.8380940755208,24280.0
2022-11-30,1726.047630673363,24820.454545454544
2022-12-31,1797.1142868768602,23784.545454545456
2023-01-31,1899.8349914550781,23466.045454545456
2023-02-28,1853.2368485300165,23623.95
2023-03-31,1912.9608685037365,23591.956521739132
2023-04-30,2001.04736328125,23464.9
2023-05-31,1993.4227294921875,23456.434782608696
2023-06-30,1941.652378627232,23506.31818181818
2023-07-31,1950.7649963378906,23660.666666666668
2023-08-31,1917.5565185546875,23848.043478260868
2023-09-30,1912.4099975585937,24206.428571428572
2023-10-31,1915.5681762695312,24465.772727272728
2023-11-30,1985.3714250837054,24328.227272727272
2023-12-31,2031.6749938964845,24277.333333333332
2024-01-31,2028.0428466796875,24452.17391304348
2024-02-29,2025.214990234375,24473.333333333332
2024-03-31,2161.8699951171875,24707.809523809523
2024-04-30,2332.590897993608,25146.363636363636
2024-05-31,2349.6318026455965,25428.956521739132
2024-06-30,2326.0789345189146,25435.6
2024-07-31,2393.3363702947445,25371.521739130436
2024-08-31,2467.249988902699,25032.727272727272
2024-09-30,2572.869982910156,24650.095238095237
2024-10-31,2688.904349949049,25010.304347826088
2024-11-30,2649.8150146484377,25357.85714285714
2024-12-31,2644.3,25404.52380952381
